S ufella;Above;;;;;;;;;;;;;;;;;;;
Ackaḍ;Acceleration;;;;;;;;;;;;;;;;;;;
Qbel;Accept;;;;;;;;;;;;;;;;;;;
Yettwaqbel;Accepted;;;;;;;;;;;;;;;;;;;
Anekcum;Access;;;;;;;;;;;;;;;;;;;
Yettwakcem;Accessed;;;;;;;;;;;;;;;;;;;
Tuffart;Accessibility;;;;;;;;;;;;;;;;;;;
Yettwakcam;Accessible;;;;;;;;;;;;;;;;;;;
Amiḍan;Account;;;;;;;;;;;;;;;;;;;
Imiḍanen;Accounts;;;;;;;;;;;;;;;;;;;
Isnemmar;Acknowledgements;;;;;;;;;;;;;;;;;;;
Axefwal;Acronym;;;;;;;;;;;;;;;;;;;
Tigawt;Act;;;;;;;;;;;;;;;;;;;
Tigawin;Actions;;;;;;;;;;;;;;;;;;;
Rmed;Activate;;;;;;;;;;;;;;;;;;;
Irmed;Activated;;;;;;;;;;;;;;;;;;;
Urmid;Active;;;;;;;;;;;;;;;;;;;
Aɣnas;Activism;;;;;;;;;;;;;;;;;;;
Armud;Activity;;;;;;;;;;;;;;;;;;;
Akṭuṛyal;Actuarial;;;;;;;;;;;;;;;;;;;
Rnu;Add;;;;;;;;;;;;;;;;;;;
Rnu/Kkes;Add/Remove;;;;;;;;;;;;;;;;;;;
Rnu...;Add…;;;;;;;;;;;;;;;;;;;
Azem n tmerna;Added;;;;;;;;;;;;;;;;;;;
Timerna…;Adding...;;;;;;;;;;;;;;;;;;;
Azegrir;Add-on;;;;;;;;;;;;;;;;;;;
Izegrar;Add-ons;;;;;;;;;;;;;;;;;;;
Tansa;Address;;;;;;;;;;;;;;;;;;;
Tansiwin;Addresses;;;;;;;;;;;;;;;;;;;
Asuddes;Addressing;;;;;;;;;;;;;;;;;;;
Rnu tawuri;Addtask;;;;;;;;;;;;;;;;;;;
Rnu %s;Addxwitharg;;;;;;;;;;;;;;;;;;;
Iwata;Ad-hoc;;;;;;;;;;;;;;;;;;;
Tadbelt;Administration;;;;;;;;;;;;;;;;;;;
Anedbal;Administrator;;;;;;;;;;;;;;;;;;;
"Anaẓi";Advanced;;;;;;;;;;;;;;;;;;;
Leqqayen…;Advanced…;;;;;;;;;;;;;;;;;;;
Aḥareb;Advocacy;;;;;;;;;;;;;;;;;;;
Tafarit;Afar;;;;;;;;;;;;;;;;;;;
Afɣanistan;Afghanistan;;;;;;;;;;;;;;;;;;;
Tafriqt/Abiǧan;Africa/Abidjan;;;;;;;;;;;;;;;;;;;
Tafriqt/Akṛa;Africa/Accra;;;;;;;;;;;;;;;;;;;
Tafriqt/Zzayer;Africa/Algiers;;;;;;;;;;;;;;;;;;;
Tafriqt/Asmara;Africa/Asmara;;;;;;;;;;;;;;;;;;;
Tafriqt/Bamako;Africa/Bamako;;;;;;;;;;;;;;;;;;;
Tafriqt/Bangi;Africa/Bangui;;;;;;;;;;;;;;;;;;;
Tafriqt/Banjul;Africa/Banjul;;;;;;;;;;;;;;;;;;;
Tafriqt/Bissau;Africa/Bissau;;;;;;;;;;;;;;;;;;;
Tafriqt/Blantyre;Africa/Blantyre;;;;;;;;;;;;;;;;;;;
Tafriqt/Brazzaville;Africa/Brazzaville;;;;;;;;;;;;;;;;;;;
Tafriqt/Bujumbura;Africa/Bujumbura;;;;;;;;;;;;;;;;;;;
Africa/qahiṛa;Africa/Cairo;;;;;;;;;;;;;;;;;;;
Tafriqt/Kazablanka;Africa/Casablanca;;;;;;;;;;;;;;;;;;;
Tafriqt/Sebta;Africa/Ceuta;;;;;;;;;;;;;;;;;;;
Tafriqt/Konakri;Africa/Conakry;;;;;;;;;;;;;;;;;;;
Tafriqt/Dakaṛ;Africa/Dakar;;;;;;;;;;;;;;;;;;;
Tafriqt/Ǧibuti;Africa/Djibouti;;;;;;;;;;;;;;;;;;;
Tafriqt/Dwala;Africa/Douala;;;;;;;;;;;;;;;;;;;
Tafriqt/Friṭawn;Africa/Freetown;;;;;;;;;;;;;;;;;;;
Tafriqt/Gaṛabun;Africa/Gaborone;;;;;;;;;;;;;;;;;;;
Tafriqt/Haṛari;Africa/Harare;;;;;;;;;;;;;;;;;;;
Tafriqt/Juhanisburg;Africa/Johannesburg;;;;;;;;;;;;;;;;;;;
Tafriqt/Juba;Africa/Juba;;;;;;;;;;;;;;;;;;;
Tafriqt/Kampala;Africa/Kampala;;;;;;;;;;;;;;;;;;;
Tafriqt/Xaṛtum;Africa/Khartoum;;;;;;;;;;;;;;;;;;;
Tafriqt/Kigali;Africa/Kigali;;;;;;;;;;;;;;;;;;;
Tafriqt/Kincaṣa;Africa/Kinshasa;;;;;;;;;;;;;;;;;;;
Tafriqt/Lagos;Africa/Lagos;;;;;;;;;;;;;;;;;;;
Tafriqt/Libreville;Africa/Libreville;;;;;;;;;;;;;;;;;;;
Tafriqt/Lome;Africa/Lome;;;;;;;;;;;;;;;;;;;
Tafriqt/Luanda;Africa/Luanda;;;;;;;;;;;;;;;;;;;
Tafriqt/Lubumbashi;Africa/Lubumbashi;;;;;;;;;;;;;;;;;;;
Tafriqt/Lusaka;Africa/Lusaka;;;;;;;;;;;;;;;;;;;
Tafriqt/Malabo;Africa/Malabo;;;;;;;;;;;;;;;;;;;
Tafriqt/Maputo;Africa/Maputo;;;;;;;;;;;;;;;;;;;
Tafriqt/Maseru;Africa/Maseru;;;;;;;;;;;;;;;;;;;
Tafriqt/Mbabane;Africa/Mbabane;;;;;;;;;;;;;;;;;;;
Tafriqt/Mogadishu;Africa/Mogadishu;;;;;;;;;;;;;;;;;;;
Tafriqt/Monrovia;Africa/Monrovia;;;;;;;;;;;;;;;;;;;
Tafriqt/Nairobi;Africa/Nairobi;;;;;;;;;;;;;;;;;;;
Tafriqt/Ndjamena;Africa/Ndjamena;;;;;;;;;;;;;;;;;;;
Tafriqt/Niamey;Africa/Niamey;;;;;;;;;;;;;;;;;;;
Tafriqt/Nouakchott;Africa/Nouakchott;;;;;;;;;;;;;;;;;;;
Tafriqt/Ouagadougou;Africa/Ouagadougou;;;;;;;;;;;;;;;;;;;
Tafriqt/Porto-Novo;Africa/Porto-Novo;;;;;;;;;;;;;;;;;;;
Tafriqt/Tripoli;Africa/Tripoli;;;;;;;;;;;;;;;;;;;
Tafriqt/Tunis;Africa/Tunis;;;;;;;;;;;;;;;;;;;
Tafriqt/Windhoek;Africa/Windhoek;;;;;;;;;;;;;;;;;;;
Tafrikant;Afrikaans;;;;;;;;;;;;;;;;;;;
Seld;After;;;;;;;;;;;;;;;;;;;
Awtay;Age;;;;;;;;;;;;;;;;;;;
Aggregate;Aggregate;;;;;;;;;;;;;;;;;;;
AIM;AIM;;;;;;;;;;;;;;;;;;;
Takanit;Akan;;;;;;;;;;;;;;;;;;;
Akṛutiri;Akrotiri;;;;;;;;;;;;;;;;;;;
Albaniya;Albania;;;;;;;;;;;;;;;;;;;
Talbanit;Albanian;;;;;;;;;;;;;;;;;;;
Album;Album;;;;;;;;;;;;;;;;;;;
Ilbumen;Albums;;;;;;;;;;;;;;;;;;;
alɣu;alert;;;;;;;;;;;;;;;;;;;
Zzayer;Algeria;;;;;;;;;;;;;;;;;;;
Tabzimt;Alias;;;;;;;;;;;;;;;;;;;
Reyyec;Align;;;;;;;;;;;;;;;;;;;
Areyyec;Alignment;;;;;;;;;;;;;;;;;;;
Akk;All;;;;;;;;;;;;;;;;;;;
Isnasen;Allocations;;;;;;;;;;;;;;;;;;;
Sireg;Allow;;;;;;;;;;;;;;;;;;;
Ittusireg;Allowed;;;;;;;;;;;;;;;;;;;
Alpha;Alpha;;;;;;;;;;;;;;;;;;;
Alt;Alt;;;;;;;;;;;;;;;;;;;
Alt+;Alt+;;;;;;;;;;;;;;;;;;;
Alt+CmdOrCtrl+F;Alt+CmdOrCtrl+F;;;;;;;;;;;;;;;;;;;
Alt+Down;Alt+Down;;;;;;;;;;;;;;;;;;;
Alt-Down;Alt-Down;;;;;;;;;;;;;;;;;;;
Afrayan;Alternative;;;;;;;;;;;;;;;;;;;
Ismawen imlellayen;alternativenaming;;;;;;;;;;;;;;;;;;;
Alt-Tab;Alt-Tab;;;;;;;;;;;;;;;;;;;
Alt-Up;Alt-Up;;;;;;;;;;;;;;;;;;;
Yal tikelt;Always;;;;;;;;;;;;;;;;;;;
Tifawt/Tameddit;AM/PM;;;;;;;;;;;;;;;;;;;
Amazon;Amazon;;;;;;;;;;;;;;;;;;;
Tamrikt/Adak;America/Adak;;;;;;;;;;;;;;;;;;;
Tamrikt/Anchorage;America/Anchorage;;;;;;;;;;;;;;;;;;;
Tamrikt/Anguilla;America/Anguilla;;;;;;;;;;;;;;;;;;;
Tamrikt/Antigua;America/Antigua;;;;;;;;;;;;;;;;;;;
Tamrikt/Araguaina;America/Araguaina;;;;;;;;;;;;;;;;;;;
Tamrikt/Aṛjuntin/Catamarca;America/Argentina/Catamarca;;;;;;;;;;;;;;;;;;;
Tamrikt/Aṛjuntin/Cordoba;America/Argentina/Cordoba;;;;;;;;;;;;;;;;;;;
Tamrikt/Aṛjuntin/Jujuy;America/Argentina/Jujuy;;;;;;;;;;;;;;;;;;;
Tamrikt/Aṛjuntin/Mendoza;America/Argentina/Mendoza;;;;;;;;;;;;;;;;;;;
